TEAM_ID,ABBR,G,RA,RA_G,FG_TEAM,ERA_MINUS,FIP_MINUS,RANK_RA_G,RANK_ERA_MINUS,RANK_FIP_MINUS,COMPOSITE_RANK_SCORE,PREVENTION_RANK,OPP_STRENGTH
140,TEX,162,605,3.734567901234568,TEX,86.9692270745645,92.64595636041915,1.0,3.0,3.0,2.3333333333333335,1,FUERTE
134,PIT,162,645,3.9814814814814814,PIT,86.59848146995496,92.58656613343526,5.0,2.0,2.0,3.0,2,FUERTE
143,PHI,162,648,4.0,PHI,87.20722905590682,87.23183050179206,7.0,4.0,1.0,4.0,3,FUERTE
158,MIL,162,634,3.9135802469135803,MIL,86.32439227410696,95.18412161122136,3.0,1.0,9.0,4.333333333333333,4,FUERTE
118,KC,162,637,3.932098765432099,KCR,88.84949141771669,95.0163122351299,4.0,6.0,8.0,6.0,5,FUERTE
135,SD,162,621,3.8333333333333335,SDP,90.44036597199327,97.66293126208272,2.0,8.0,15.0,8.333333333333334,6,FUERTE
111,BOS,163,679,4.1656441717791415,BOS,88.20473806539316,95.26140028488442,10.0,5.0,10.0,8.333333333333334,7,FUERTE
113,CIN,165,693,4.2,CIN,89.894076717498,95.45318539692353,11.0,7.0,11.0,9.666666666666666,8,FUERTE
114,CLE,163,655,4.0184049079754605,CLE,90.67464819669996,95.93121317229331,8.0,9.0,13.0,10.0,9,FUERTE
137,SF,162,684,4.222222222222222,SFG,93.60866335143221,93.69255415497646,13.0,11.0,6.0,10.0,10,FUERTE
147,NYY,162,685,4.228395061728395,NYY,95.45885206556149,93.41026279737363,14.0,15.0,4.0,11.0,11,MEDIO
119,LAD,160,679,4.24375,LAD,95.20170259649599,93.65667426426558,15.0,13.0,5.0,11.0,12,MEDIO
117,HOU,162,665,4.104938271604938,HOU,94.88161899854742,97.05114738576549,9.0,12.0,14.0,11.666666666666666,13,MEDIO
112,CHC,160,639,3.99375,CHC,92.4977452966104,101.93239600209625,6.0,10.0,21.0,12.333333333333334,14,MEDIO
139,TB,162,683,4.216049382716049,TBR,95.37391713001986,98.25446504240102,12.0,14.0,16.0,14.0,15,MEDIO
121,NYM,162,715,4.41358024691358,NYM,97.93656988073536,94.57330833688543,18.0,17.0,7.0,14.0,16,MEDIO
116,DET,162,691,4.265432098765432,DET,95.99026432685882,95.93116289790503,16.0,16.0,12.0,14.666666666666666,17,MEDIO
136,SEA,162,694,4.283950617283951,SEA,101.1110820879752,98.74337969380375,17.0,18.0,17.0,17.333333333333332,18,MEDIO
141,TOR,162,721,4.450617283950617,TOR,102.92508845206316,101.066758089687,19.0,19.0,20.0,19.333333333333332,19,MEDIO
144,ATL,163,736,4.515337423312883,ATL,103.74437313550075,103.1687670422905,20.0,20.0,22.0,20.666666666666668,20,MEDIO
138,STL,162,754,4.654320987654321,STL,103.890472886459,99.88334005504625,22.0,21.0,19.0,20.666666666666668,21,DEBIL
145,CWS,162,742,4.580246913580247,CHW,104.74404857479969,105.42854846253373,21.0,22.0,24.0,22.333333333333332,22,DEBIL
142,MIN,163,778,4.773006134969325,MIN,111.07799372683337,99.03326756222384,23.0,26.0,18.0,22.333333333333332,23,DEBIL
109,ARI,163,789,4.840490797546012,ARI,106.27061274479958,105.74284154507201,24.0,23.0,25.0,24.0,24,DEBIL
146,MIA,162,798,4.925925925925926,MIA,108.21272191646446,104.93093652612566,26.0,25.0,23.0,24.666666666666668,25,DEBIL
110,BAL,162,788,4.864197530864198,BAL,114.8946278410725,105.99235836288011,25.0,27.0,26.0,26.0,26,DEBIL
133,ATH,162,817,5.04320987654321,ATH,106.6393095749596,105.99483912469749,27.0,24.0,27.0,26.0,27,DEBIL
108,LAA,162,837,5.166666666666667,LAA,120.07018267179996,115.63267049922742,28.0,28.0,29.0,28.333333333333332,28,DEBIL
120,WSH,162,899,5.549382716049383,WSN,124.82831379271987,111.89561309341194,29.0,29.0,28.0,28.666666666666668,29,DEBIL
115,COL,162,1021,6.302469135802469,COL,126.11949130906528,120.66061990888727,30.0,30.0,30.0,30.0,30,DEBIL
