DATE,GAME_PK,RS_GAMELOG,PERIOD
2024-03-29,745848,1,2024
2024-03-30,745850,6,2024
2024-03-31,745845,1,2024
2024-04-01,745842,0,2024
2024-04-04,745843,2,2024
2024-04-04,745844,3,2024
2024-04-05,746733,3,2024
2024-04-06,746731,6,2024
2024-04-07,746734,3,2024
2024-04-08,747142,8,2024
2024-04-09,747138,5,2024
2024-04-11,747137,16,2024
2024-04-12,745838,6,2024
2024-04-13,745839,7,2024
2024-04-14,745841,2,2024
2024-04-15,745840,6,2024
2024-04-16,745837,3,2024
2024-04-17,745836,9,2024
2024-04-19,746160,9,2024
2024-04-20,746156,6,2024
2024-04-21,746154,0,2024
2024-04-22,745351,2,2024
2024-04-23,745348,1,2024
2024-04-24,745346,8,2024
2024-04-26,745835,2,2024
2024-04-27,745833,4,2024
2024-04-28,745834,4,2024
2024-04-29,745832,1,2024
2024-04-30,745831,4,2024
2024-05-01,745829,0,2024
2024-05-02,745830,7,2024
2024-05-03,745101,8,2024
2024-05-04,745100,1,2024
2024-05-05,745103,6,2024
2024-05-06,745182,4,2024
2024-05-07,745186,7,2024
2024-05-10,745827,2,2024
2024-05-11,745828,1,2024
2024-05-12,745825,4,2024
2024-05-13,745826,4,2024
2024-05-14,745821,0,2024
2024-05-15,745582,5,2024
2024-05-16,745580,6,2024
2024-05-17,746065,0,2024
2024-05-18,746067,9,2024
2024-05-19,746064,7,2024
2024-05-20,746637,1,2024
2024-05-21,746633,6,2024
2024-05-22,746634,3,2024
2024-05-24,745822,7,2024
2024-05-25,745823,2,2024
2024-05-26,745824,4,2024
2024-05-28,745816,0,2024
2024-05-28,745818,2,2024
2024-05-29,745817,3,2024
2024-05-30,745819,3,2024
2024-05-31,745820,10,2024
2024-06-01,745812,5,2024
2024-06-02,745813,4,2024
2024-06-03,744854,8,2024
2024-06-04,744850,6,2024
2024-06-05,744852,9,2024
2024-06-08,745814,2,2024
2024-06-09,745571,6,2024
2024-06-11,745815,2,2024
2024-06-12,745811,10,2024
2024-06-13,745809,3,2024
2024-06-14,745810,2,2024
2024-06-15,745805,5,2024
2024-06-16,745807,11,2024
2024-06-17,745005,14,2024
2024-06-18,745004,7,2024
2024-06-19,745002,3,2024
2024-06-21,746861,11,2024
2024-06-22,746863,1,2024
2024-06-23,746862,5,2024
2024-06-25,745806,9,2024
2024-06-26,745808,12,2024
2024-06-28,745804,7,2024
2024-06-29,745801,6,2024
2024-06-30,745802,5,2024
2024-07-01,744840,9,2024
2024-07-02,744838,7,2024
2024-07-03,744837,5,2024
2024-07-04,744834,0,2024
2024-07-05,745479,2,2024
2024-07-06,745476,5,2024
2024-07-07,745477,3,2024
2024-07-08,745480,2,2024
2024-07-09,745803,7,2024
2024-07-10,745796,6,2024
2024-07-11,745799,7,2024
2024-07-12,745800,7,2024
2024-07-13,745798,7,2024
2024-07-14,745797,5,2024
2024-07-19,746040,4,2024
2024-07-20,746041,1,2024
2024-07-21,746042,2,2024
2024-07-22,746034,6,2024
2024-07-23,745715,3,2024
2024-07-24,745716,12,2024
2024-07-25,745794,3,2024
2024-07-26,745792,8,2024
2024-07-27,745793,0,2024
2024-07-28,745795,2,2024
2024-07-29,745791,15,2024
2024-07-30,745787,2,2024
2024-07-31,745789,3,2024
2024-08-02,746193,5,2024
2024-08-03,746194,4,2024
2024-08-04,746191,2,2024
2024-08-05,745184,6,2024
2024-08-06,746519,3,2024
2024-08-07,746521,5,2024
2024-08-08,746522,9,2024
2024-08-09,745220,0,2024
2024-08-10,745219,0,2024
2024-08-11,745216,1,2024
2024-08-13,745788,4,2024
2024-08-14,745790,9,2024
2024-08-15,745783,6,2024
2024-08-16,745784,7,2024
2024-08-17,745785,4,2024
2024-08-18,745786,2,2024
2024-08-19,745780,4,2024
2024-08-20,745782,5,2024
2024-08-21,745781,4,2024
2024-08-22,745379,8,2024
2024-08-23,745378,0,2024
2024-08-24,745377,7,2024
2024-08-25,745376,2,2024
2024-08-27,747162,8,2024
2024-08-28,747161,5,2024
2024-08-29,747159,3,2024
2024-08-30,746749,5,2024
2024-08-31,746751,5,2024
2024-09-01,746750,2,2024
2024-09-02,745779,4,2024
2024-09-03,745778,7,2024
2024-09-04,745776,8,2024
2024-09-06,745777,6,2024
2024-09-07,745775,4,2024
2024-09-08,745774,1,2024
2024-09-09,744888,3,2024
2024-09-10,744886,2,2024
2024-09-11,744881,6,2024
2024-09-13,745529,11,2024
2024-09-14,745528,4,2024
2024-09-15,745530,1,2024
2024-09-16,745773,2,2024
2024-09-17,745772,10,2024
2024-09-18,745771,10,2024
2024-09-19,745769,10,2024
2024-09-20,745770,2,2024
2024-09-21,745768,6,2024
2024-09-22,745767,2,2024
2024-09-24,747068,1,2024
2024-09-27,745930,4,2024
2024-09-28,745931,0,2024
2024-09-29,745932,5,2024
2024-09-30,747064,0,2024
2024-09-30,747139,8,2024
2025-03-27,778559,1,2025
2025-03-28,778518,3,2025
2025-03-29,778530,1,2025
2025-03-31,778509,10,2025
2025-04-01,778497,2,2025
2025-04-02,778481,6,2025
2025-04-04,778465,5,2025
2025-04-05,778446,3,2025
2025-04-06,778435,2,2025
2025-04-07,778416,2,2025
2025-04-08,778407,10,2025
2025-04-09,778390,0,2025
2025-04-11,778358,7,2025
2025-04-12,778346,1,2025
2025-04-13,778333,8,2025
2025-04-14,778324,5,2025
2025-04-15,778307,3,2025
2025-04-16,778299,3,2025
2025-04-17,778278,4,2025
2025-04-18,778270,5,2025
2025-04-19,778256,3,2025
2025-04-20,778244,7,2025
2025-04-21,778225,5,2025
2025-04-22,778223,5,2025
2025-04-23,778203,4,2025
2025-04-25,778183,4,2025
2025-04-26,778173,2,2025
2025-04-27,778153,7,2025
2025-04-28,778138,19,2025
2025-04-29,778130,8,2025
2025-04-30,778117,3,2025
2025-05-01,778103,2,2025
2025-05-02,778084,9,2025
2025-05-04,778053,5,2025
2025-05-04,778068,4,2025
2025-05-05,778039,5,2025
2025-05-06,778032,1,2025
2025-05-07,778014,7,2025
2025-05-09,778001,7,2025
