DATE,GAME_PK,RS_GAMELOG,PERIOD
2025-03-27,778558,7,2025
2025-03-29,778529,3,2025
2025-03-30,778510,6,2025
2025-03-31,778499,2,2025
2025-04-01,778485,0,2025
2025-04-02,778476,2,2025
2025-04-04,778447,8,2025
2025-04-05,778437,4,2025
2025-04-06,778425,2,2025
2025-04-08,778402,1,2025
2025-04-09,778391,3,2025
2025-04-10,778378,6,2025
2025-04-11,778375,7,2025
2025-04-12,778359,6,2025
2025-04-13,778342,2,2025
2025-04-15,778317,6,2025
2025-04-16,778301,1,2025
2025-04-17,778292,2,2025
2025-04-18,778271,10,2025
2025-04-19,778254,3,2025
2025-04-20,778242,5,2025
2025-04-21,778227,6,2025
2025-04-22,778218,3,2025
2025-04-23,778206,1,2025
2025-04-26,778169,3,2025
2025-04-26,778179,5,2025
2025-04-27,778157,3,2025
2025-04-28,778139,1,2025
2025-04-29,778129,2,2025
2025-04-30,778116,4,2025
2025-05-01,778108,4,2025
2025-05-02,778081,3,2025
2025-05-03,778064,5,2025
2025-05-04,778056,5,2025
2025-05-06,778026,9,2025
2025-05-06,778046,9,2025
2025-05-07,778022,8,2025
2025-05-09,777997,6,2025
2025-05-10,777983,1,2025
2025-05-11,777971,0,2025
2025-05-12,777960,5,2025
2025-05-13,777944,2,2025
2025-05-14,777925,5,2025
2025-05-16,777902,4,2025
2025-05-17,777892,1,2025
2025-05-18,777874,1,2025
2025-05-19,777861,5,2025
2025-05-21,777829,5,2025
2025-05-22,777821,7,2025
2025-05-23,777807,3,2025
2025-05-24,777796,7,2025
2025-05-25,777780,0,2025
2025-05-26,777769,2,2025
2025-05-27,777753,5,2025
2025-05-28,777739,7,2025
2025-05-30,777721,1,2025
2025-05-31,777703,7,2025
2025-06-01,777683,4,2025
2025-06-03,777664,2,2025
2025-06-04,777653,4,2025
2025-06-05,777644,0,2025
2025-06-06,777622,2,2025
2025-06-07,777608,3,2025
2025-06-08,777591,4,2025
2025-06-09,777580,4,2025
2025-06-10,777569,0,2025
2025-06-11,777549,11,2025
2025-06-13,777520,2,2025
2025-06-14,777507,3,2025
2025-06-15,777495,0,2025
2025-06-17,777472,3,2025
2025-06-18,777454,4,2025
2025-06-19,777440,1,2025
2025-06-20,777429,1,2025
2025-06-21,777411,4,2025
2025-06-22,777400,3,2025
2025-06-24,777384,6,2025
2025-06-25,777368,5,2025
2025-06-26,777354,0,2025
2025-06-27,777349,0,2025
2025-06-28,777329,6,2025
2025-06-29,777309,0,2025
2025-07-01,777287,2,2025
2025-07-02,777266,4,2025
2025-07-03,777259,0,2025
2025-07-04,777249,1,2025
2025-07-05,777240,0,2025
2025-07-06,777226,2,2025
2025-07-07,777202,7,2025
2025-07-08,777192,10,2025
2025-07-09,777174,4,2025
2025-07-11,777146,4,2025
2025-07-11,777164,4,2025
2025-07-12,777138,6,2025
2025-07-13,777120,6,2025
2025-07-18,777105,8,2025
2025-07-19,777104,2,2025
2025-07-20,777084,8,2025
2025-07-21,777068,10,2025
2025-07-22,777056,6,2025
2025-07-23,777036,3,2025
2025-07-24,777019,3,2025
2025-07-26,776990,6,2025
2025-07-26,777010,3,2025
2025-07-27,776975,1,2025
2025-07-28,776968,6,2025
2025-07-29,776951,10,2025
2025-07-30,776942,5,2025
2025-08-01,776924,3,2025
2025-08-02,776905,5,2025
2025-08-03,776892,4,2025
2025-08-04,776876,7,2025
2025-08-05,776863,3,2025
2025-08-06,776846,4,2025
2025-08-08,776833,9,2025
2025-08-09,776814,3,2025
2025-08-10,776798,4,2025
2025-08-12,776778,4,2025
2025-08-13,776766,4,2025
2025-08-14,776745,9,2025
2025-08-15,776738,0,2025
2025-08-16,776720,1,2025
2025-08-17,776706,4,2025
2025-08-18,776682,3,2025
2025-08-19,776672,5,2025
2025-08-20,776658,2,2025
2025-08-22,776641,3,2025
2025-08-23,776623,0,2025
2025-08-24,776611,0,2025
2025-08-25,776601,0,2025
2025-08-26,776584,3,2025
2025-08-27,776580,4,2025
2025-08-29,776547,5,2025
2025-08-30,776537,4,2025
2025-08-31,776521,2,2025
2025-09-01,776505,4,2025
2025-09-02,776493,7,2025
2025-09-03,776474,8,2025
2025-09-04,776458,2,2025
